Title,Artist,Object Date,Image,Description,Genre
Still Life with Lobster and Fruit,Abraham van Beyeren,probably early 1650s,https://collectionapi.metmuseum.org/api/collection/v1/iiif/435663/795734/main-image,"A luxurious still life with a lobster, exotic fruits, and a silver tazza. The vibrant palette and virtuoso rendering of textures reflect the wealth and status of the Dutch Golden Age. The painting showcases mastery in depicting light on metal, glass, and the velvety skin of fruits.",Pronkstilleven
Still Life with a Skull and a Writing Quill,Pieter Claesz,1628,https://collectionapi.metmuseum.org/api/collection/v1/iiif/435904/795798/main-image,"A classic example of the ""vanitas"" genre — a meditation on the transience of life. The skull, extinguished candle, and quill symbolize the futility of earthly labors in the face of death. The restrained monochrome palette reinforces the philosophical mood.",Vanitas
Vanitas Still Life,Edwaert Collier,1662,https://collectionapi.metmuseum.org/api/collection/v1/iiif/435918/795874/main-image,"A theatrical vanitas composition: a skull, musical instruments, a globe, and books. Each object reminds us of the vanity of worldly pleasures and the inevitability of death. The play of light and shadow adds dramatic tension to the scene.",Vanitas
Vanitas Still Life,Jacques de Gheyn II,1603,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436485/795736/main-image,"One of the earliest vanitas still lifes in European art. The skull, flowers, and soap bubble symbolize the fragility of life and the fleeting nature of beauty. The work is distinguished by fine detail and rich symbolism.",Vanitas
A Vase of Flowers,Margareta Haverman,1716,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436634/1817784/main-image,"A rare work by a 18th-century female artist. An elegant bouquet in a glass vase is painted with astonishing precision: every petal and leaf is rendered with botanical care. The bright, joyful palette distinguishes this piece from darker vanitas scenes.",Flower Still Life
Still Life with a Glass and Oysters,Jan Davidsz de Heem,ca. 1640,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436636/795903/main-image,"An exquisite small-scale still life: oysters, a wine glass, and a lemon. The rendering of glass transparency and the wet gleam of oysters is a testament to virtuoso technique. The work reflects the Dutch love for refined table details.",Banketje / Ontbijtje
Still Life: A Banqueting Scene,Jan Davidsz de Heem,probably ca. 1640–41,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436637/793886/main-image,"A monumental banquet painting. On the table are fruits, a lobster, silverware, lemons, and luxurious fabrics. The composition conveys the abundance and opulence of a Dutch aristocratic feast. Every detail is rendered with jewelry-like precision.",Pronkstilleven
"Still Life with Fruit, Glassware, and a Wanli Bowl",Willem Kalf,1659,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436805/795801/main-image,"Kalf's mastery in rendering light and texture reaches its peak here. A Chinese Wanli porcelain vase, glassware, and fruits are painted with near-photographic precision. The play of reflections on polished surfaces is mesmerizing.",Pronkstilleven
"Still Life with Poppy, Insects, and Reptiles",Otto Marseus van Schrieck,ca. 1670,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436976/795802/main-image,"An unusual forest-floor still life: poppy, insects, and reptiles. Marseus van Schrieck worked in the ""bosstilleven"" genre, blending botanical precision with elements of grotesque and surrealism. The dark background highlights the vividness of the flowers and the detailed creatures.",Sottobosco
A Vase with Flowers,Jacob Vosmaer,probably 1613,https://collectionapi.metmuseum.org/api/collection/v1/iiif/437920/795809/main-image,"An early Dutch flower still life. A large vase with a lush bouquet of peonies, irises, and roses. The work is distinguished by its decorative richness and delicate color harmony. One of the earliest examples of this genre in the Met collection.",Flower Still Life
Gamepiece with a Dead Heron,Jan Weenix,1695,https://collectionapi.metmuseum.org/api/collection/v1/iiif/437937/795799/main-image,"An impressive hunting still life: a dead heron, game birds, and fruits set against a park landscape. The painting combines still life with landscape, reflecting the influence of aristocratic hunting culture. Dramatic lighting and sculptural composition create a vivid sense of presence.",Hunting / Gamepiece
"Still Life with Oysters, a Silver Tazza, and Glassware",Willem Claesz Heda,1635,https://collectionapi.metmuseum.org/api/collection/v1/iiif/438376/794512/main-image,"A masterpiece of the Dutch ""breakfast"" piece (banketje). Oysters, a silver tazza, an overturned glass, and a lemon are rendered in a restrained silvery-green palette. Heda masterfully conveys the textures of metal, glass, and the moist rind of the lemon — a classic of monochrome still life.",Banketje / Ontbijtje
